warehouse_id,priority,city,address,warehouse_name,vacancy,positions_count,desired_age,avg_mileage_per_day,comment,explanation,curators,avitolog_comment,lat,lng,geocode_status
vv_бугры_ул_шекспира_3_бугры_ленинградская_об,,Бугры,"ул. Шекспира, 3, Бугры, Ленинградская обл",,,,,,,,,,,,not_found
vv_санкт_петербург_санкт_петербург_ул_афонска,,Санкт-Петербург,"Санкт-Петербург ул Афонская, д 25",,,,,,,,,,,,not_found
190,,Пушкино,"Пушкино ш Ярославское, д 190/2",,,,,,,,,,,,not_found
vv_санкт_петербург_санкт_петербург_ул_оптиков,,Санкт-Петербург,"Санкт-Петербург ул Оптиков, д 30 стр 1",,,,,,,,,,,,not_found
vv_казань_казань_четаева_дом_44в,,Казань,"Казань , Четаева, дом № 44В",,,,,,,,,,,,not_found
vv_люберцы_люберцы_некрасовский_зенино_жк_сам,,Люберцы,"Люберцы , Некрасовский (Зенино ЖК Самолёт мкр ) проезд, уч 4А",,,,,,,,,,,,not_found
vv_казань_казань_ул_габдуллы_тукая_д_2,,Казань,"Казань ул Габдуллы Тукая, д 2",,,,,,,,,,,,not_found
vv_москва_москва_пр_т_вернадского_д_37_к_2,,Москва,"Москва , пр-т Вернадского, д 37 к 2",,,,,,,,,,,,not_found
vv_москва_москва_мира_дом_64,,Москва,"Москва , Мира, дом № 64",,,,,,,,,,,,not_found
114,,Обнинск,"Обнинск , пр-т Маркса, д 114",,,,,,,,,,,,not_found
vv_санкт_петербург_санкт_петербург_ул_оранжер,,Санкт-Петербург,"Санкт-Петербург ул Оранжерейная, д 21",,,,,,,,,,,,not_found
316,,Саратов,"Саратов ул Соколовая, д 316,",,,,,,,,,,,,not_found
vv_химки_химки_ул_овражная_д_24_стр_5,,Химки,"Химки , ул Овражная, д 24 стр 5",,,,,,,,,,,,not_found
vv_москва_москва_ул_линии_октябрьской_железно,,Москва,"Москва , ул Линии Октябрьской Железной Дороги, д 2 стр 2",,,,,,,,,,,,not_found
vv_уфа_уфа_ул_им_города_галле_д_34,,Уфа,"Уфа , ул им города Галле, д 34",,,,,,,,,,,,not_found
121,,Одинцово,"Одинцово , ш Можайское, д 121",,,,,,,,,,55.6897593,37.3223189,ok
vv_волгоград_волгоград_ул_козловская_д_44а,,Волгоград,"Волгоград , ул Козловская, д 44а",,,,,,,,,,,,not_found
vv_долгопрудный_долгопрудный_пр_транспортный_,,Долгопрудный,"Долгопрудный пр Транспортный, д 11",,,,,,,,,,,,not_found
vv_домодедово_домодедово_ул_набережная_стр_12,,Домодедово,"Домодедово ул Набережная, стр 12",,,,,,,,,,,,not_found
vv_москва_москва_мичуринский_проспект_олимпий,,Москва,"Москва , Мичуринский проспект Олимпийская деревня ул, д 4, к 1",,,,,,,,,,,,not_found
vv_москва_москва_несвижский_дом_2,,Москва,"Москва , Несвижский, дом № 2",,,,,,,,,,,,not_found
vv_москва_москва_ул_берзарина_д_21а,,Москва,"Москва , ул Берзарина, д 21А",,,,,,,,,,,,not_found
vv_путилково_путилково_мкад_71_км_стр_16а,,Путилково,"Путилково , МКАД 71 км, стр 16А",,,,,,,,,,,,not_found
vv_долгопрудный_долгопрудный_пр_т_пацаева_д_2,,Долгопрудный,"Долгопрудный , пр-т Пацаева, д 2 к 1",,,,,,,,,,,,not_found
vv_ростов_на_дону_2_й_плавный_пер_30_ростов_н,,Ростов-на-Дону,"2-й, Плавный пер., 30, Ростов-на-Дону, Ростовская обл",,,,,,,,,,,,not_found
vv_серпухов_серпухов_ул_5_я_борисовская_д_16,,Серпухов,"Серпухов ул 5-я Борисовская, д 16",,,,,,,,,,,,not_found
vv_ильинское_ильинское_ул_ленина_д_11,,Ильинское,"Ильинское ул Ленина, д 11",,,,,,,,,,,,not_found
vv_красногорск_красногорск_пр_оптический_д_2,,Красногорск,"Красногорск пр Оптический, д 2",,,,,,,,,,,,not_found
vv_лобня_лобня_ул_маяковского_д_5а_к_5,,Лобня,"Лобня , ул Маяковского, д 5А к 5",,,,,,,,,,,,not_found
vv_москва_москва_ул_киевская_д_27,,Москва,"Москва ул Киевская, д 27",,,,,,,,,,,,not_found
vv_москва_москва_ул_академика_королева_д_13_с,,Москва,"Москва , ул Академика Королева, д 13 стр 1",,,,,,,,,,,,not_found
vv_москва_москва_ул_сущ_вский_вал_д_46,,Москва,"Москва , ул Сущёвский Вал, д 46",,,,,,,,,,,,not_found
vv_москва_москва_алтуфьевское_дом_22б,,Москва,"Москва , Алтуфьевское, дом № 22Б",,,,,,,,,,,,not_found
vv_москва_москва_ул_солнечногорская_д_4_стр_6,,Москва,"Москва ул Солнечногорская , д 4 стр 6",,,,,,,,,,,,not_found
vv_москва_москва_дубнинская_дом_83а,,Москва,"Москва , Дубнинская, дом № 83А",,,,,,,,,,,,not_found
vv_москва_москва_ул_1_я_магистральная_д_18_ст,,Москва,"Москва , ул 1-я Магистральная, д 18 стр 1",,,,,,,,,,,,not_found
vv_москва_москва_ул_выборгская_д_16_к_2,,Москва,"Москва ул Выборгская, д 16 к 2",,,,,,,,,,,,not_found
vv_москва_москва_ул_смольная_д_34а,,Москва,"Москва , ул Смольная, д 34А",,,,,,,,,,,,not_found
vv_москва_москва_пер_4_й_вятский_д_10,,Москва,"Москва , пер 4-й Вятский, д 10",,,,,,,,,,,,not_found
vv_москва_москва_ш_ленинградское_д_58_стр_26,,Москва,"Москва , ш Ленинградское, д 58 стр 26",,,,,,,,,,,,not_found
vv_москва_москва_ул_пяловская_д_1,,Москва,"Москва , ул Пяловская, д 1",,,,,,,,,,,,not_found
vv_москва_москва_ул_большая_декабрьская_д_3_с,,Москва,"Москва , ул Большая Декабрьская, д 3 стр 1",,,,,,,,,,,,not_found
vv_москва_москва_ул_коптевская_д_65а,,Москва,"Москва , ул Коптевская, д 65А",,,,,,,,,,,,not_found
vv_москва_москва_ш_варшавское_д_95_к_1,,Москва,"Москва , ш Варшавское, д 95 к 1",,,,,,,,,,,,not_found
vv_москва_москва_ул_бирюл_вская_д_47а,,Москва,"Москва ул Бирюлёвская, д 47А",,,,,,,,,,,,not_found
vv_москва_москва_ул_3_я_хорош_вская_д_12б,,Москва,"Москва , ул 3-я Хорошёвская, д 12Б",,,,,,,,,,,,not_found
vv_москва_москва_ш_пятницкое_д_29_к_2,,Москва,"Москва ш Пятницкое, д 29 к 2",,,,,,,,,,,,not_found
vv_москва_москва_ул_генерала_белобородова_д_1,,Москва,"Москва , ул Генерала Белобородова, д 11",,,,,,,,,,,,not_found
vv_мытищи_мытищи_станционная_дом_7,,Мытищи,"Мытищи Станционная, дом № 7",,,,,,,,,,,,not_found
vv_наро_фоминск_наро_фоминск_ул_дзержинского_,,Наро-Фоминск,"Наро-Фоминск , ул Дзержинского, д 1А/1Б",,,,,,,,,,,,not_found
vv_чехов_чехов_ш_симферопольское_д_1б,,Чехов,"Чехов , ш Симферопольское, д 1Б",,,,,,,,,,,,not_found
vv_химки_химки_ул_зеленая_д_17,,Химки,"Химки , ул Зеленая, д 17",,,,,,,,,,,,not_found
146,,Москва,"Москва , ш Ярославское, д 146 к 1",,,,,,,,,,,,not_found
vv_москва_москва_большой_волоколамский_дом_1,,Москва,"Москва Большой Волоколамский, дом № 1",,,,,,,,,,,,not_found
vv_тучково_тучково_ул_партизан_д_2_стр_1,,Тучково,"Тучково , ул Партизан, д 2 стр 1",,,,,,,,,,,,not_found
vv_челябинск_челябинск_ул_худякова_д_12_к_2,,Челябинск,"Челябинск , ул Худякова, д 12, к 2",,,,,,,,,,,,not_found
vv_балашиха_балашиха_ул_южная_д_13,,Балашиха,"Балашиха , ул Южная, д 13",,,,,,,,,,,,not_found
vv_красногорск_красногорск_ул_центральная_д_6,,Красногорск,"Красногорск , ул Центральная, д 68В стр 1",,,,,,,,,,,,not_found
vv_красногорск_красногорск_7_й_автодорога_пят,,Красногорск,"Красногорск , 7-й (автодорога Пятницкое шоссе тер ) км, д 4",,,,,,,,,,,,not_found
vv_москва_москва_ул_чермянская_д_5б_стр_1,,Москва,"Москва , ул Чермянская, д 5Б стр 1",,,,,,,,,,,,not_found
vv_пермь_пермь_б_р_гагарина_д_46,,Пермь,"Пермь , б-р Гагарина, д 46",,,,,,,,,,,,not_found
vv_химки_химки_вашутинское_дом_31б,,Химки,"Химки Вашутинское, дом № 31Б",,,,,,,,,,,,not_found
vv_коломна_коломна_савельича_дом_18,,Коломна,"Коломна , Савельича, дом № 18",,,,,,,,,,,,not_found
vv_москва_москва_ул_маршала_прошлякова_д_5а_с,,Москва,"Москва , ул Маршала Прошлякова, д 5А стр 8",,,,,,,,,,,,not_found
vv_москва_москва_ул_пришвина_д_3г,,Москва,"Москва ул Пришвина, д 3Г",,,,,,,,,,,,not_found
vv_одинцово_одинцово_ул_транспортная_д_2_стр_,,Одинцово,"Одинцово , ул Транспортная, д 2 стр 3",,,,,,,,,,,,not_found
vv_реутов_реутов_ул_победы_д_31б,,Реутов,"Реутов , ул Победы, д 31Б",,,,,,,,,,,,not_found
vv_екатеринбург_екатеринбург_ул_радищева_д_55,,Екатеринбург,"Екатеринбург , ул Радищева, д 55А",,,,,,,,,,,,not_found
vv_захарово_захарово_г_истра_д_захарово_д_59а,,Захарово,"Захарово , г Истра, д Захарово д, 59А",,,,,,,,,,,,not_found
vv_люберцы_люберцы_ул_снт_зеленая_зона_д_97_с,,Люберцы,"Люберцы , ул СНТ Зеленая зона, д 97 стр 1",,,,,,,,,,,,not_found
vv_москва_москва_пр_1_й_дорожный_д_1_к_2,,Москва,"Москва , пр 1-й Дорожный, д 1 к 2",,,,,,,,,,,,not_found
vv_москва_москва_ул_речников_д_17_к_2,,Москва,"Москва ул Речников, д 17 к 2",,,,,,,,,,,,not_found
vv_москва_москва_ул_автозаводская_д_24,,Москва,"Москва , ул Автозаводская, д 24",,,,,,,,,,,,not_found
vv_москва_москва_внуковское_п_30_кв_л_д_1_стр,,Москва,"Москва , Внуковское п, 30 кв-л, д 1 стр 1",,,,,,,,,,,,not_found
vv_москва_москва_б_р_дмитрия_донского_д_19,,Москва,"Москва , б-р Дмитрия Донского, д 19",,,,,,,,,,,,not_found
vv_апрелевка_апрелевка_ул_дубки_стр_1,,Апрелевка,"Апрелевка , ул Дубки, стр 1",,,,,,,,,,,,not_found
vv_котельники_котельники_пр_2_й_покровский_ст,,Котельники,"Котельники , пр 2-й Покровский, стр 11",,,,,,,,,,,,not_found
vv_москва_москва_ул_волынская_д_10_к_2,,Москва,"Москва ул Волынская, д 10, к 2",,,,,,,,,,,,not_found
vv_москва_москва_ул_7_я_кожуховская_д_9,,Москва,"Москва , ул 7-я Кожуховская, д 9",,,,,,,,,,,,not_found
vv_тверь_тверь_пер_4_й_пески_д_10,,Тверь,"Тверь , пер 4-й Пески, д 10",,,,,,,,,,,,not_found
